,,0
PTS,BLK,0.24307949770452847
+/-,DD2,0.2461616572908688
DD2,+/-,0.2461616572908688
L,FGA,0.24749684499013985
FGA,L,0.24749684499013985
FTM,OREB,0.24842994679965705
OREB,FTM,0.24842994679965705
FT%,3P%,0.24856985856752536
3P%,FT%,0.24856985856752536
TOV,FT%,0.2557376755978711
FT%,TOV,0.2557376755978711
W,PTS,0.25593871864516576
PTS,W,0.25593871864516576
FTM,TD3,0.2570911769339442
TD3,FTM,0.2570911769339442
+/-,FTA,0.2599380359202839
FTA,+/-,0.2599380359202839
3P%,FP,0.2605905849739375
FP,3P%,0.2605905849739375
3P%,TOV,0.26118265003989977
TOV,3P%,0.26118265003989977
FGA,TD3,0.2623597015459401
TD3,FGA,0.2623597015459401
FG%,GP,0.2626297953247147
GP,FG%,0.2626297953247147
+/-,TD3,0.2626749516967666
TD3,+/-,0.2626749516967666
+/-,BLK,0.26415741180308555
BLK,+/-,0.26415741180308555
DD2,FG%,0.2659818509921315
FG%,DD2,0.2659818509921315
MIN,W,0.26624284206093396
W,MIN,0.26624284206093396
+/-,FTM,0.2677494792733781
FTM,+/-,0.2677494792733781
GP,FTA,0.2679812025153576
FTA,GP,0.2679812025153576
FGM,W,0.2691744203728189
W,FGM,0.2691744203728189
REB,GP,0.27018497645759787
GP,REB,0.27018497645759787
MIN,OREB,0.27065777044410794
OREB,MIN,0.27065777044410794
FGM,OREB,0.2706680260039624
OREB,FGM,0.2706680260039624
PTS,TD3,0.2710017445059708
TD3,PTS,0.2710017445059708
+/-,DREB,0.27334342391577865
DREB,+/-,0.27334342391577865
SALARY,AGE,0.2752719126396914
AGE,SALARY,0.2752719126396914
BLK,MIN,0.2759046603810925
MIN,BLK,0.2759046603810925
TD3,FGM,0.2776508356935056
FGM,TD3,0.2776508356935056
GP,STL,0.28011297433835886
STL,GP,0.28011297433835886
BLK,FGM,0.2828973131375222
FGM,BLK,0.2828973131375222
MIN,TD3,0.2831810617846149
TD3,MIN,0.2831810617846149
GP,DREB,0.28329760355585265
DREB,GP,0.28329760355585265
+/-,STL,0.28657037709607003
STL,+/-,0.28657037709607003
L,PF,0.2880035515779794
PF,L,0.2880035515779794
BLK,FTM,0.29036826035095314
FTM,BLK,0.29036826035095314
+/-,3PM,0.2914599863652764
3PM,+/-,0.2914599863652764
FP,W,0.294404918203332
W,FP,0.294404918203332
TD3,FTA,0.2966420418401411
FTA,TD3,0.2966420418401411
FGA,GP,0.29722958816087125
GP,FGA,0.29722958816087125
FGM,3P%,0.2991942330780409
3P%,FGM,0.2991942330780409
PF,SALARY,0.3006534083006848
SALARY,PF,0.3006534083006848
DD2,GP,0.3017559193380129
GP,DD2,0.3017559193380129
3P%,AST,0.3026192552738246
AST,3P%,0.3026192552738246
+/-,FGM,0.3042869655379969
FGM,+/-,0.3042869655379969
STL,3P%,0.3054528659539793
3P%,STL,0.3054528659539793
FG%,W,0.30620821425468486
W,FG%,0.30620821425468486
GP,PF,0.30722788131363643
PF,GP,0.30722788131363643
MIN,FT%,0.30969965951727707
FT%,MIN,0.30969965951727707
FGM,FT%,0.31251863890143594
FT%,FGM,0.31251863890143594
SALARY,+/-,0.31403822167976597
+/-,SALARY,0.31403822167976597
AST,+/-,0.3158136405033211
+/-,AST,0.3158136405033211
+/-,PTS,0.31657956676565197
PTS,+/-,0.31657956676565197
TD3,SALARY,0.3181061825883059
SALARY,TD3,0.3181061825883059
GP,PTS,0.32126636336753345
PTS,GP,0.32126636336753345
PF,FG%,0.32497189960192846
FG%,PF,0.32497189960192846
TD3,REB,0.3266164028294573
REB,TD3,0.3266164028294573
FTM,FT%,0.32940604396445666
FT%,FTM,0.32940604396445666
FT%,FGA,0.3313134729271825
FGA,FT%,0.3313134729271825
3P%,PTS,0.3327526825402378
PTS,3P%,0.3327526825402378
STL,TD3,0.33356471231096935
TD3,STL,0.33356471231096935
FG%,DREB,0.34139113240369406
DREB,FG%,0.34139113240369406
GP,FGM,0.3429016315690934
FGM,GP,0.3429016315690934
FT%,PTS,0.3444162587554543
PTS,FT%,0.3444162587554543
FT%,3PA,0.34818098962188115
3PA,FT%,0.34818098962188115
FP,GP,0.34912335303792397
GP,FP,0.34912335303792397
FT%,3PM,0.35004539404165413
3PM,FT%,0.35004539404165413
L,MIN,0.35350450608625933
MIN,L,0.35350450608625933
REB,AST,0.3567852458640838
AST,REB,0.3567852458640838
OREB,FTA,0.36033886258855263
FTA,OREB,0.36033886258855263
FGA,3P%,0.3618639431547778
3P%,FGA,0.3618639431547778
AST,PF,0.3636921238195467
PF,AST,0.3636921238195467
FP,+/-,0.37088976129709805
+/-,FP,0.37088976129709805
FTA,BLK,0.37768003435912845
BLK,FTA,0.37768003435912845
3PM,FTA,0.3804169479890093
FTA,3PM,0.3804169479890093
DREB,TD3,0.38215734942315915
TD3,DREB,0.38215734942315915
MIN,3P%,0.3864928711144113
3P%,MIN,0.3864928711144113
FTA,3PA,0.40588754385930365
3PA,FTA,0.40588754385930365
TD3,FP,0.4086712690280286
FP,TD3,0.4086712690280286
MIN,GP,0.40911297818185544
GP,MIN,0.40911297818185544
PF,FTM,0.41266818890651036
FTM,PF,0.41266818890651036
OREB,FP,0.4136060044371569
FP,OREB,0.4136060044371569
DD2,STL,0.4200112473714352
STL,DD2,0.4200112473714352
REB,FG%,0.42129396542204695
FG%,REB,0.42129396542204695
DD2,SALARY,0.4233273905695317
SALARY,DD2,0.4233273905695317
FGA,DD2,0.4251978917879607
DD2,FGA,0.4251978917879607
REB,STL,0.43087279401369066
STL,REB,0.43087279401369066
TOV,TD3,0.44199028926783546
TD3,TOV,0.44199028926783546
BLK,FP,0.45147567693819385
FP,BLK,0.45147567693819385
AST,DREB,0.45816870320696723
DREB,AST,0.45816870320696723
BLK,DD2,0.4619202172881023
DD2,BLK,0.4619202172881023
FTA,PF,0.4640936022553361
PF,FTA,0.4640936022553361
SALARY,REB,0.46423903066000366
REB,SALARY,0.46423903066000366
DD2,PF,0.4680958616075523
PF,DD2,0.4680958616075523
3PM,FTM,0.471429259461148
FTM,3PM,0.471429259461148
PF,FGA,0.47798500611906625
FGA,PF,0.47798500611906625
MIN,DD2,0.47813798819945913
DD2,MIN,0.47813798819945913
STL,PF,0.4796321751299738
PF,STL,0.4796321751299738
DD2,PTS,0.48130265801971994
PTS,DD2,0.48130265801971994
PF,PTS,0.4879970813813278
PTS,PF,0.4879970813813278
FGA,REB,0.49030800313040235
REB,FGA,0.49030800313040235
STL,FTA,0.49041202302072917
FTA,STL,0.49041202302072917
SALARY,STL,0.49104866506629335
STL,SALARY,0.49104866506629335
3PA,FTM,0.4966029242917578
FTM,3PA,0.4966029242917578
AST,DD2,0.49681174704720393
DD2,AST,0.49681174704720393
BLK,FG%,0.4981949846050048
FG%,BLK,0.4981949846050048
STL,DREB,0.4987591876234519
DREB,STL,0.4987591876234519
DD2,FGM,0.5009842153555083
FGM,DD2,0.5009842153555083
AST,3PM,0.5055054311430551
3PM,AST,0.5055054311430551
SALARY,3PM,0.505813547568567
3PM,SALARY,0.505813547568567
STL,FTM,0.5081263148946503
FTM,STL,0.5081263148946503
TD3,DD2,0.5177428773588493
DD2,TD3,0.5177428773588493
PF,FGM,0.5229127442527601
FGM,PF,0.5229127442527601
STL,3PM,0.523319662678257
3PM,STL,0.523319662678257
REB,FTM,0.5261299019923389
FTM,REB,0.5261299019923389
3PA,3P%,0.5268156994220046
3P%,3PA,0.5268156994220046
PF,TOV,0.531464750827872
TOV,PF,0.531464750827872
FTM,DD2,0.5319158822601576
DD2,FTM,0.5319158822601576
SALARY,3PA,0.5378372795385993
3PA,SALARY,0.5378372795385993
PTS,REB,0.5382072587245859
REB,PTS,0.5382072587245859
AST,3PA,0.5383111814244936
3PA,AST,0.5383111814244936
FG%,OREB,0.5394585330152348
OREB,FG%,0.5394585330152348
W,+/-,0.5395786956328439
+/-,W,0.5395786956328439
3PA,STL,0.5407124877329563
STL,3PA,0.5407124877329563
TOV,REB,0.541337623332239
REB,TOV,0.541337623332239
TD3,AST,0.5452793855149529
AST,TD3,0.5452793855149529
3P%,3PM,0.5470511483308714
3PM,3P%,0.5470511483308714
TOV,DD2,0.5471255336965287
DD2,TOV,0.5471255336965287
PF,BLK,0.5475346476998256
BLK,PF,0.5475346476998256
DREB,SALARY,0.5508003339691447
SALARY,DREB,0.5508003339691447
OREB,DD2,0.5514900620535317
DD2,OREB,0.5514900620535317
3PM,TOV,0.5519011242015642
TOV,3PM,0.5519011242015642
FTA,AST,0.5592357245760514
AST,FTA,0.5592357245760514
FP,3PM,0.5682772377906059
3PM,FP,0.5682772377906059
SALARY,AST,0.5732142011218706
AST,SALARY,0.5732142011218706
FGA,DREB,0.5759203462305016
DREB,FGA,0.5759203462305016
REB,FGM,0.5787476564635636
FGM,REB,0.5787476564635636
AST,FTM,0.5829657365182075
FTM,AST,0.5829657365182075
3PA,FP,0.5833486247163885
FP,3PA,0.5833486247163885
DREB,FTM,0.5865350851843402
FTM,DREB,0.5865350851843402
3PA,TOV,0.5884290599185488
TOV,3PA,0.5884290599185488
OREB,PF,0.5909021892739394
PF,OREB,0.5909021892739394
FTA,SALARY,0.6037075231329938
SALARY,FTA,0.6037075231329938
MIN,REB,0.605491657593096
REB,MIN,0.605491657593096
SALARY,MIN,0.6109300803933096
MIN,SALARY,0.6109300803933096
DREB,PTS,0.6163443953035338
PTS,DREB,0.6163443953035338
SALARY,TOV,0.6190467366992154
TOV,SALARY,0.6190467366992154
FGM,STL,0.6196625070617113
STL,FGM,0.6196625070617113
REB,FTA,0.6205181379386507
FTA,REB,0.6205181379386507
DREB,TOV,0.6223691636351015
TOV,DREB,0.6223691636351015
DREB,BLK,0.6260908654532118
BLK,DREB,0.6260908654532118
SALARY,FTM,0.6261046470048696
FTM,SALARY,0.6261046470048696
PF,MIN,0.626416907237705
MIN,PF,0.626416907237705
PTS,STL,0.6267593742554576
STL,PTS,0.6267593742554576
DD2,FTA,0.6329740095543571
FTA,DD2,0.6329740095543571
PF,FP,0.6365150797686567
FP,PF,0.6365150797686567
AST,FGM,0.6429385764696894
FGM,AST,0.6429385764696894
MIN,3PM,0.6456054180316381
3PM,MIN,0.6456054180316381
FGM,DREB,0.6465558496777647
DREB,FGM,0.6465558496777647
FGA,STL,0.6474398316862263
STL,FGA,0.6474398316862263
FGA,SALARY,0.6545957500664038
SALARY,FGA,0.6545957500664038
BLK,OREB,0.6559596512573375
OREB,BLK,0.6559596512573375
AST,PTS,0.6571434760693711
PTS,AST,0.6571434760693711
3PM,FGM,0.6583240274207722
FGM,3PM,0.6583240274207722
FGM,SALARY,0.6605690633340473
SALARY,FGM,0.6605690633340473
3PA,FGM,0.6641722482006425
FGM,3PA,0.6641722482006425
3PA,MIN,0.6641883030962075
MIN,3PA,0.6641883030962075
FP,DD2,0.6645904726464897
DD2,FP,0.6645904726464897
FTA,DREB,0.6662308431987661
DREB,FTA,0.6662308431987661
AST,FGA,0.6717814051648142
FGA,AST,0.6717814051648142
REB,BLK,0.6755963985073917
BLK,REB,0.6755963985073917
GP,L,0.6779950453112921
L,GP,0.6779950453112921
SALARY,PTS,0.6794778707294545
PTS,SALARY,0.6794778707294545
MIN,FTM,0.6805891142356765
FTM,MIN,0.6805891142356765
FTA,MIN,0.6812247666091047
MIN,FTA,0.6812247666091047
MIN,DREB,0.6814813668897548
DREB,MIN,0.6814813668897548
MIN,AST,0.6824528973636959
AST,MIN,0.6824528973636959
SALARY,FP,0.6992154830364528
FP,SALARY,0.6992154830364528
PF,DREB,0.6993288761549331
DREB,PF,0.6993288761549331
STL,TOV,0.6996127575856552
TOV,STL,0.6996127575856552
DREB,OREB,0.7020218923092314
OREB,DREB,0.7020218923092314
REB,PF,0.7132123662133366
PF,REB,0.7132123662133366
PTS,3PM,0.7142016408560669
3PM,PTS,0.7142016408560669
PTS,3PA,0.7213466682113056
3PA,PTS,0.7213466682113056
3PM,FGA,0.7425005210425358
FGA,3PM,0.7425005210425358
STL,MIN,0.7439512881476353
MIN,STL,0.7439512881476353
STL,AST,0.7447109545593502
AST,STL,0.7447109545593502
REB,FP,0.745019289768234
FP,REB,0.745019289768234
STL,FP,0.7568173100486189
FP,STL,0.7568173100486189
FTA,TOV,0.7657183356944244
TOV,FTA,0.7657183356944244
3PA,FGA,0.7657542061873296
FGA,3PA,0.7657542061873296
DD2,REB,0.7666701494325241
REB,DD2,0.7666701494325241
AST,FP,0.7673648502619884
FP,AST,0.7673648502619884
TOV,MIN,0.7718601299106634
MIN,TOV,0.7718601299106634
FTM,TOV,0.7757153245031663
TOV,FTM,0.7757153245031663
DREB,DD2,0.7824523404811017
DD2,DREB,0.7824523404811017
FTA,FGA,0.7948826512992728
FGA,FTA,0.7948826512992728
W,GP,0.8019940283390125
GP,W,0.8019940283390125
FP,DREB,0.8077614962733617
DREB,FP,0.8077614962733617
FTM,FGA,0.8290826895567511
FGA,FTM,0.8290826895567511
FTA,FGM,0.8308447558777837
FGM,FTA,0.8308447558777837
FGM,TOV,0.8319756677970469
TOV,FGM,0.8319756677970469
FTM,FP,0.8345183058941286
FP,FTM,0.8345183058941286
REB,OREB,0.8345854084685197
OREB,REB,0.8345854084685197
TOV,PTS,0.8404681363982617
PTS,TOV,0.8404681363982617
FGM,FTM,0.844188013330434
FTM,FGM,0.844188013330434
FTA,FP,0.8445868012145369
FP,FTA,0.8445868012145369
FGA,TOV,0.8459464288238915
TOV,FGA,0.8459464288238915
PTS,MIN,0.8466540042808857
MIN,PTS,0.8466540042808857
MIN,FGM,0.8518312817604395
FGM,MIN,0.8518312817604395
TOV,AST,0.8524487633474284
AST,TOV,0.8524487633474284
FTA,PTS,0.859974215818397
PTS,FTA,0.859974215818397
FGA,MIN,0.8645202570315199
MIN,FGA,0.8645202570315199
TOV,FP,0.8815994160486355
