,,0
BLK,FGM,0.465722313
AST,BLK,0.465765745
BLK,AST,0.465765745
FTA,OREB,0.468138466
OREB,FTA,0.468138466
FTA,BLK,0.468516561
BLK,FTA,0.468516561
GP,FP,0.46853256
FP,GP,0.46853256
FGA,OREB,0.469706105
OREB,FGA,0.469706105
GP,PF,0.471592173
PF,GP,0.471592173
FTA,PF,0.472612531
PF,FTA,0.472612531
FP,W,0.473119518
W,FP,0.473119518
TD3,W,0.474108678
W,TD3,0.474108678
W,BLK,0.474889089
BLK,W,0.474889089
DREB,TD3,0.475128916
TD3,DREB,0.475128916
W,DD2,0.476222159
DD2,W,0.476222159
FGM,AST,0.485173603
AST,FGM,0.485173603
TD3,STL,0.486098328
STL,TD3,0.486098328
FGA,3PM,0.487361823
3PM,FGA,0.487361823
DREB,GP,0.490099119
GP,DREB,0.490099119
BLK,MIN,0.490152099
MIN,BLK,0.490152099
AST,FTM,0.496180849
FTM,AST,0.496180849
PTS,OREB,0.497317401
OREB,PTS,0.497317401
GP,MIN,0.501481708
MIN,GP,0.501481708
OREB,DD2,0.502489639
DD2,OREB,0.502489639
MIN,3PM,0.504350624
3PM,MIN,0.504350624
3PA,SALARY,0.504735846
SALARY,3PA,0.504735846
REB,GP,0.508879155
GP,REB,0.508879155
AST,PTS,0.510859111
PTS,AST,0.510859111
DREB,OREB,0.515228847
OREB,DREB,0.515228847
AST,FTA,0.517174175
FTA,AST,0.517174175
DREB,BLK,0.51988432
BLK,DREB,0.51988432
TOV,BLK,0.521059551
BLK,TOV,0.521059551
AST,FGA,0.522870773
FGA,AST,0.522870773
+/-,AST,0.525231099
AST,+/-,0.525231099
MIN,OREB,0.526821977
OREB,MIN,0.526821977
DD2,STL,0.534312841
STL,DD2,0.534312841
PF,AST,0.538559418
AST,PF,0.538559418
TD3,TOV,0.543018098
TOV,TD3,0.543018098
SALARY,STL,0.543484903
STL,SALARY,0.543484903
AST,W,0.544282691
W,AST,0.544282691
3PA,FGA,0.545838851
FGA,3PA,0.545838851
DD2,GP,0.554375153
GP,DD2,0.554375153
OREB,FP,0.558212522
FP,OREB,0.558212522
BLK,REB,0.558666604
REB,BLK,0.558666604
OREB,FGM,0.561478805
FGM,OREB,0.561478805
PF,PTS,0.565809298
PTS,PF,0.565809298
3PA,MIN,0.566850341
MIN,3PA,0.566850341
3P%,3PA,0.568714892
3PA,3P%,0.568714892
FGA,PF,0.570045382
PF,FGA,0.570045382
DD2,FGA,0.571215015
FGA,DD2,0.571215015
DD2,FTM,0.574809657
FTM,DD2,0.574809657
REB,SALARY,0.577324141
SALARY,REB,0.577324141
DD2,TD3,0.585248831
TD3,DD2,0.585248831
PF,STL,0.588632713
STL,PF,0.588632713
PTS,DD2,0.593496571
DD2,PTS,0.593496571
FGM,SALARY,0.598229104
SALARY,FGM,0.598229104
BLK,STL,0.598546924
STL,BLK,0.598546924
FGM,DD2,0.599719994
DD2,FGM,0.599719994
W,+/-,0.610038601
+/-,W,0.610038601
PF,FGM,0.610116342
FGM,PF,0.610116342
DD2,PF,0.613431375
PF,DD2,0.613431375
3P%,3PM,0.61806205
3PM,3P%,0.61806205
DD2,FTA,0.622537254
FTA,DD2,0.622537254
STL,TOV,0.633630184
TOV,STL,0.633630184
AST,DD2,0.638168475
DD2,AST,0.638168475
FP,BLK,0.645504668
BLK,FP,0.645504668
FGA,SALARY,0.65180408
SALARY,FGA,0.65180408
AST,TD3,0.655819013
TD3,AST,0.655819013
MIN,STL,0.660096021
STL,MIN,0.660096021
REB,AST,0.66551705
AST,REB,0.66551705
MIN,SALARY,0.665980222
SALARY,MIN,0.665980222
MIN,DD2,0.66908496
DD2,MIN,0.66908496
PTS,SALARY,0.669589685
SALARY,PTS,0.669589685
REB,STL,0.673441762
STL,REB,0.673441762
OREB,PF,0.675006209
PF,OREB,0.675006209
DREB,STL,0.676978202
STL,DREB,0.676978202
SALARY,DREB,0.67822612
DREB,SALARY,0.67822612
PF,TOV,0.679242422
TOV,PF,0.679242422
SALARY,FTA,0.688537384
