,,0
STL,DREB,0.773353813
STL,PTS,0.777692668
PTS,STL,0.777692668
3PM,FGM,0.780791915
FGM,3PM,0.780791915
REB,3PM,0.783094432
3PM,REB,0.783094432
3PA,FP,0.785235953
FP,3PA,0.785235953
DREB,SALARY,0.785952138
SALARY,DREB,0.785952138
MIN,FTM,0.788058797
FTM,MIN,0.788058797
STL,TOV,0.792549686
TOV,STL,0.792549686
AST,FTM,0.795653302
FTM,AST,0.795653302
FTA,MIN,0.798351446
MIN,FTA,0.798351446
REB,STL,0.798933469
STL,REB,0.798933469
FP,DD2,0.79901264
DD2,FP,0.79901264
PTS,3PA,0.799533609
3PA,PTS,0.799533609
FGA,STL,0.799695312
STL,FGA,0.799695312
3PM,FP,0.800063532
FP,3PM,0.800063532
AST,REB,0.800433918
REB,AST,0.800433918
MIN,TOV,0.800869432
TOV,MIN,0.800869432
SALARY,3PM,0.802061636
3PM,SALARY,0.802061636
SALARY,AST,0.810341374
AST,SALARY,0.810341374
SALARY,TOV,0.812322246
TOV,SALARY,0.812322246
3PM,PTS,0.812869762
PTS,3PM,0.812869762
AST,DREB,0.814230778
DREB,AST,0.814230778
3PM,DREB,0.814381618
DREB,3PM,0.814381618
FP,STL,0.814408028
STL,FP,0.814408028
3PA,SALARY,0.816642131
SALARY,3PA,0.816642131
TD3,AST,0.818835551
AST,TD3,0.818835551
FGA,3PM,0.825796505
3PM,FGA,0.825796505
FGA,3PA,0.826988605
3PA,FGA,0.826988605
FTA,SALARY,0.831228749
SALARY,FTA,0.831228749
FGA,AST,0.8341531
AST,FGA,0.8341531
FTM,REB,0.834532386
REB,FTM,0.834532386
FTA,REB,0.836825999
REB,FTA,0.836825999
FTA,AST,0.837233626
AST,FTA,0.837233626
FGM,SALARY,0.838600229
SALARY,FGM,0.838600229
FTM,SALARY,0.844396054
SALARY,FTM,0.844396054
DREB,FTA,0.845620933
FTA,DREB,0.845620933
FGA,SALARY,0.845733074
SALARY,FGA,0.845733074
DREB,FTM,0.850469203
FTM,DREB,0.850469203
AST,PTS,0.851442616
PTS,AST,0.851442616
TD3,DD2,0.856544896
DD2,TD3,0.856544896
FP,SALARY,0.857815744
SALARY,FP,0.857815744
FGM,AST,0.858718927
AST,FGM,0.858718927
PTS,SALARY,0.86193817
SALARY,PTS,0.86193817
TOV,REB,0.867451416
REB,TOV,0.867451416
DREB,TOV,0.874056587
TOV,DREB,0.874056587
MIN,PTS,0.874392446
PTS,MIN,0.874392446
FP,MIN,0.87807495
MIN,FP,0.87807495
MIN,FGM,0.879315466
FGM,MIN,0.879315466
MIN,FGA,0.889238036
FGA,MIN,0.889238036
DD2,AST,0.890907989
AST,DD2,0.890907989
TOV,AST,0.892265539
AST,TOV,0.892265539
MIN,DREB,0.894689383
DREB,MIN,0.894689383
FGA,REB,0.894940023
REB,FGA,0.894940023
AST,FP,0.898674795
FP,AST,0.898674795
FGA,DREB,0.900170241
DREB,FGA,0.900170241
REB,PTS,0.910260147
PTS,REB,0.910260147
REB,MIN,0.911521939
MIN,REB,0.911521939
REB,FGM,0.912284986
FGM,REB,0.912284986
TOV,FTM,0.917690796
FTM,TOV,0.917690796
DREB,FGM,0.917904044
FGM,DREB,0.917904044
PTS,DREB,0.920739672
DREB,PTS,0.920739672
TOV,FGM,0.930858362
FGM,TOV,0.930858362
FGA,FTA,0.932144272
FTA,FGA,0.932144272
FP,FTM,0.933349019
FTM,FP,0.933349019
FTM,FGA,0.933665376
FGA,FTM,0.933665376
FTA,TOV,0.933939106
TOV,FTA,0.933939106
FGA,TOV,0.93519173
TOV,FGA,0.93519173
FP,FTA,0.936625616
FTA,FP,0.936625616
TOV,PTS,0.937738803
PTS,TOV,0.937738803
FGM,FTM,0.93965184
FTM,FGM,0.93965184
FTA,FGM,0.943350432
FGM,FTA,0.943350432
TOV,FP,0.946236873
FP,TOV,0.946236873
FP,REB,0.94653662
REB,FP,0.94653662
FP,DREB,0.951398548
DREB,FP,0.951398548
PTS,FTA,0.954472068
FTA,PTS,0.954472068
FTM,PTS,0.959533937
PTS,FTM,0.959533937
FGA,FP,0.970501488
FP,FGA,0.970501488
3PM,3PA,0.978022521
3PA,3PM,0.978022521
FTA,FTM,0.984443807
FTM,FTA,0.984443807
FP,FGM,0.985034865
FGM,FP,0.985034865
PTS,FP,0.985388226
FP,PTS,0.985388226
FGM,FGA,0.985832257
FGA,FGM,0.985832257
PTS,FGA,0.988596722
FGA,PTS,0.988596722
REB,DREB,0.990467339
DREB,REB,0.990467339
PTS,FGM,0.995651249
FGM,PTS,0.995651249
YEAR,YEAR,1
TD3,TD3,1
SALARY,SALARY,1
AGE,AGE,1
GP,GP,1
W,W,1
L,L,1
MIN,MIN,1
PTS,PTS,1
FGM,FGM,1
FGA,FGA,1
FG%,FG%,1
3PM,3PM,1
3PA,3PA,1
+/-,+/-,1
3P%,3P%,1
FTA,FTA,1
FT%,FT%,1
OREB,OREB,1
DREB,DREB,1
REB,REB,1
AST,AST,1
TOV,TOV,1
STL,STL,1
BLK,BLK,1
PF,PF,1
FP,FP,1
DD2,DD2,1
FTM,FTM,1
RK,RK,1
