,,0
STL,AST,0.7027271095092965
AST,STL,0.7027271095092965
FTA,PTS,0.707530594556837
PTS,FTA,0.707530594556837
FGM,FTM,0.7077404500919187
FTM,FGM,0.7077404500919187
FGM,FTA,0.7166950137271504
FTA,FGM,0.7166950137271504
DREB,DD2,0.7268324650183915
DD2,DREB,0.7268324650183915
REB,DD2,0.7311055171111448
DD2,REB,0.7311055171111448
TOV,AST,0.7374770812641326
AST,TOV,0.7374770812641326
FP,TOV,0.7375391378452765
TOV,FP,0.7375391378452765
+/-,W,0.7498767339911555
W,+/-,0.7498767339911555
FTA,FP,0.751645507485091
FP,FTA,0.751645507485091
PTS,TOV,0.7719875871084682
TOV,PTS,0.7719875871084682
FG%,DD2,0.7723361205054743
DD2,FG%,0.7723361205054743
